Model,Split_Dir,LR,RNN_LR,LR_Display,Diff_LR,CNN_Frozen,Weight_Decay,Batch_Size,Seed,Params,Epochs,Best_Epoch,Early_Stop,Test_F1,Test_AUROC,Test_Accuracy,Test_Loss,Val_F1,Run_ID,Date,Device,User,Platform,Torch_Vers
cnn_only,data/splits_10s,0.000102,1.07e-06,"CNN=1.02e-04, RNN=1.07e-06",True,False,1.88e-06,256,70228,44228,12,2,True,0.3639862386858817,0.5275500275598012,0.3050412987752777,1.2901551808629717,0.3882192624029115,cnn_only_seed70228_20251210_144152,2025-12-10T14:41:52.032342,cuda,navak,Linux,2.8.0+cu128
bilstm,data/splits_10s,0.0004,2.95e-06,"CNN=4.00e-04, RNN=2.95e-06",True,False,3.33e-05,256,85319,316612,22,12,True,0.3635017972813294,0.5674168920550413,0.3306750213614355,1.1484836403812682,0.38588242570774994,bilstm_seed85319_20251211_015718,2025-12-11T01:57:18.396992,cuda,tomra,Windows,2.9.1+cu128
cnn_only,data/splits,8.97e-05,,8.97e-05,False,False,1.35e-05,192,91382,44228,11,1,True,0.35680202832410146,0.5479255881357666,0.34824323430159465,1.30500000488909,0.3516842724127104,cnn_only_seed91382_20251210_215117,2025-12-10T21:51:17.275157,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits_10s,2.96e-05,3.67e-06,"CNN=2.96e-05, RNN=3.67e-06",True,False,6.72e-05,128,85320,44228,14,4,True,0.3536380946105506,0.5363108976503276,0.35046995158074623,1.306029859456149,0.36587763274602125,cnn_only_seed85320_20251210_161313,2025-12-10T16:13:13.452312,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits_20s,5.5e-05,1.47e-06,"CNN=5.50e-05, RNN=1.47e-06",True,False,8.42e-06,128,58262,44228,25,15,True,0.35186767180432255,0.5455968450840135,0.2808988764044944,1.254088580608368,0.3563233369762779,cnn_only_seed58262_20251210_161459,2025-12-10T16:14:59.860453,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits,2.02e-05,2.46e-05,"CNN=2.02e-05, RNN=2.46e-05",True,False,0.000268,128,29150,44228,15,5,True,0.34911108200725244,0.5460847351736461,0.29352213326275395,1.3192714673130452,0.3572026469946105,cnn_only_seed29150_20251210_143938,2025-12-10T14:39:38.866305,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits,1.3e-05,8.01e-05,"CNN=1.30e-05, RNN=8.01e-05",True,False,0.000403,256,13530,44228,23,13,True,0.3428335102976737,0.5489308201833292,0.2792298021570833,1.2929664850234985,0.34617110480297125,cnn_only_seed13530_20251210_143033,2025-12-10T14:30:33.514200,cuda,navak,Linux,2.8.0+cu128
cnn_lstm_fixed,data/splits,0.001,0.0001,"CNN=1.00e-03, RNN=1.00e-04",True,False,0.0001,64,42,308228,11,1,True,0.3394797492668955,0.5166049494769288,0.3119168927413485,1.3608991923714489,0.3261574292954743,cnn_lstm_fixed_seed42_20251208_005457,2025-12-08T00:54:57.237954,cuda,tomra,Windows,2.9.1+cu128
cnn_lstm_meanpool,data/splits_10s,0.00029,7.94e-06,"CNN=2.90e-04, RNN=7.94e-06",True,False,1.18e-05,192,35165,127348,19,9,True,0.3325507919984706,0.5790104895160314,0.31557960694958703,1.1242109762655723,0.35103609416466397,cnn_lstm_meanpool_seed35165_20251211_002447,2025-12-11T00:24:47.160593,cuda,tomra,Windows,2.9.1+cu128
attention,data/splits,0.0001,,1.00e-04,False,False,0.0001,64,42,127445,14,4,True,0.3325266651592496,0.5373780871814458,0.2753920465824125,1.367545761136566,0.3356102616394591,attention_seed42_20251208_125912,2025-12-08T12:59:12.130910,mps,tomrannosaurus,Darwin,2.9.1
